lineNo,direction,stopNo,stopName,latitude,longitude
1,MAZOWIECKA,1,HALINÓW/PĘTLA,51.932859,20.107568
1,MAZOWIECKA,2,ŁÓDZKA 67,51.931031,20.113322
1,MAZOWIECKA,3,ŁÓDZKA 43,51.935294,20.119883
1,MAZOWIECKA,4,ŁÓDZKA/STACJA PALIW,51.940612,20.126168
1,MAZOWIECKA,5,PONIATOWSKIEGO/CMENTARZ,51.946457,20.131343
1,MAZOWIECKA,6,PONIATOWSKIEGO 21,51.946345,20.138376
1,MAZOWIECKA,7,PONIATOWSKIEGO/ZALEW,51.945403,20.143252
1,MAZOWIECKA,8,PLAC JANA PAWŁA II,51.94787,20.14491
1,MAZOWIECKA,9,BATOREGO,51.95124,20.143018
1,MAZOWIECKA,10,ALEJA NIEPODLEGŁOŚCI,51.953316,20.143624
1,MAZOWIECKA,11,MSZCZONOWSKA/RAWSKA,51.956374,20.144878
1,MAZOWIECKA,12,MSZCZONOWSKA/POMOLOGICZNA,51.955827,20.150972
1,MAZOWIECKA,13,A. OLSZEWSKIEJ,51.958793,20.149085
1,MAZOWIECKA,14,REYMONTA/RYBICKIEGO,51.961629,20.149026
1,MAZOWIECKA,15,SIENKIEWICZA,51.965292,20.148167
1,MAZOWIECKA,16,DWORCOWA,51.966425,20.150333
1,MAZOWIECKA,17,MICKIEWICZA/SZKOLNA,51.967634,20.157171
1,MAZOWIECKA,18,SOBIESKIEGO/VEKA,51.96746,20.164582
1,MAZOWIECKA,19,SOBIESKIEGO/MLECZARNIA,51.969305,20.170741
1,MAZOWIECKA,20,SOBIESKIEGO/PĘTLA,51.97237,20.181316
1,MAZOWIECKA,21,UNII EUROPEJSKIEJ/SOBIESKIEGO,51.971933,20.185528
1,MAZOWIECKA,22,UNII EUROPEJSKIEJ/LOGIST.,51.964739,20.183929
1,MAZOWIECKA,23,UNII EUROPEJSKIEJ/MIEDNIEWICKA,51.959003,20.182719
1,MAZOWIECKA,24,MIEDNIEWICKA/MAZOWIECKA,51.958292,20.175439
1,MAZOWIECKA,25,MAZOWIECKA/PARTYZANTÓW,51.959268,20.163812
7,LUDWIKÓW,1,PRZEMYSŁOWA,51.979130,20.175882
7,LUDWIKÓW,2,CZERWONA/MZK ,51.974930,20.165203
7,LUDWIKÓW,3,CZERWONA/SKŁODOWSKIEJ ,51.973618,20.161585
7,LUDWIKÓW,4,SZARYCH SZEREGÓW/SZKOŁA ,51.975209,20.149727
7,LUDWIKÓW,5,SZARYCH SZEREGÓW/KOŚCIÓŁ ,51.973645,20.144547
7,LUDWIKÓW,6,NOWOBIELAŃSKA SAM ,51.974763,20.154609
7,LUDWIKÓW,7,NOWOBIELAŃSKA ,51.979118,20.155085
7,LUDWIKÓW,8,NOWOBIELAŃSKA/SZKOŁA ,51.985607,20.155884
7,LUDWIKÓW,9,ARMII KRAJOWEJ/NOWOBIELAŃSKA,51.980561,20.151499
7,LUDWIKÓW,10,ARMII KRAJOWEJ/GARAŻE ,51.978922,20.145555
7,LUDWIKÓW,11,ARMII KRAJOWEJ/KPT.M.HALI ,51.976939,20.140319
7,LUDWIKÓW,12,ARMII KRAJOWEJ/PĘTLA ,51.975756,20.137015
7,LUDWIKÓW,13,WYSZYŃSKIEGO ,51.972830,20.142688
7,LUDWIKÓW,14,WIADUKT ,51.970061,20.147816
7,LUDWIKÓW,15,SOBIESKIEGO/SZPITAL ,51.963796,20.151683
7,LUDWIKÓW,16,DWORCOWA,51.966425,20.150333
7,LUDWIKÓW,17,SIENKIEWICZA,51.965292,20.148167
7,LUDWIKÓW,18,JAGIELLOŃSKA/MSZCZONOWSKA ,51.957264,20.144779
7,LUDWIKÓW,19,MSZCZONOWSKA/POMOLOGICZNA,51.955827,20.150972
7,LUDWIKÓW,20,KOPERNIKA ,51.951401,20.151493
7,LUDWIKÓW,21,RAWSKA 28 ,51.952040,20.147800
7,LUDWIKÓW,22,ALEJA NIEPODLEGŁOŚCI,51.953316,20.143624
7,LUDWIKÓW,23,BATOREGO,51.95124,20.143018
7,LUDWIKÓW,24,PLAC JANA PAWŁA II,51.94787,20.14491
7,LUDWIKÓW,25,ZADĘBIE ,51.943011,20.143041
7,LUDWIKÓW,26,ZADĘBIE/LIPOWA ,51.940451,20.142354
7,LUDWIKÓW,27,ZADĘBIE 76 ,51.935146,20.140562
7,LUDWIKÓW,28,LUDWIKÓW 10 ,51.928439,20.137523
7,LUDWIKÓW,29,LUDWIKÓW/PĘTLA ,51.926948,20.137157
